,artist_name,track_name,album_name,release_date,artist_popularity,track_popularity,artist_genres,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Hit,Dance_miss,Energy_miss,Valence_miss,decade_maker,decades,Spain,variable,value
884,Ryan Hurd,Chasing After You (with Maren Morris),Chasing After You (with Maren Morris),2021-02-12,61,71,"['contemporary country', 'country', 'country pop']",4,-6.395,1,0.0394,0.723,0.0,0.116,131.912,audio_features,1ZIKpMTRPqhwAoVXWY3tXI,spotify:track:1ZIKpMTRPqhwAoVXWY3tXI,https://api.spotify.com/v1/tracks/1ZIKpMTRPqhwAoVXWY3tXI,https://api.spotify.com/v1/audio-analysis/1ZIKpMTRPqhwAoVXWY3tXI,207974,4,0,1,1,1,2021,2020s,all_popular,energy,0.679
885,Adele,Make You Feel My Love,19,2008-01-27,84,75,"['british soul', 'pop', 'pop soul', 'uk pop']",10,-10.636,1,0.0326,0.907,0.000383,0.105,65.18,audio_features,273QnyCvJB65rScHJ1nPZb,spotify:track:273QnyCvJB65rScHJ1nPZb,https://api.spotify.com/v1/tracks/273QnyCvJB65rScHJ1nPZb,https://api.spotify.com/v1/audio-analysis/273QnyCvJB65rScHJ1nPZb,212040,3,0,1,1,1,2008,2000s,all_popular,energy,0.172
886,Alessia Cara,I'm Like A Bird - Recorded at Spotify Studios NYC,Spotify Singles,2019-04-24,74,67,"['canadian contemporary r&b', 'canadian pop', 'dance pop', 'pop', 'post-teen pop', 'uk pop']",10,-7.18,1,0.103,0.238,0.0,0.0598,87.998,audio_features,2JtSnwYNKOphDrshYL8n4p,spotify:track:2JtSnwYNKOphDrshYL8n4p,https://api.spotify.com/v1/tracks/2JtSnwYNKOphDrshYL8n4p,https://api.spotify.com/v1/audio-analysis/2JtSnwYNKOphDrshYL8n4p,219960,4,0,1,1,1,2019,2020s,all_popular,energy,0.639
887,Kacey Musgraves,Rainbow,Golden Hour,2018-03-30,69,70,"['contemporary country', 'country dawn', 'pop', 'texas country']",3,-7.697,1,0.0329,0.88,0.0,0.107,130.367,audio_features,79qxwHypONUt3AFq0WPpT9,spotify:track:79qxwHypONUt3AFq0WPpT9,https://api.spotify.com/v1/tracks/79qxwHypONUt3AFq0WPpT9,https://api.spotify.com/v1/audio-analysis/79qxwHypONUt3AFq0WPpT9,214293,4,0,1,1,1,2018,2010s,all_popular,energy,0.197
888,Ella Henderson,Ghost,Chapter One (Deluxe Version),2014-10-13,75,63,"['dance pop', 'pop', 'pop dance', 'talent show', 'tropical house', 'uk pop']",9,-3.823,1,0.0414,0.0457,8.66e-06,0.143,104.975,audio_features,4XPWKmy05Rcff6TLHNoNF8,spotify:track:4XPWKmy05Rcff6TLHNoNF8,https://api.spotify.com/v1/tracks/4XPWKmy05Rcff6TLHNoNF8,https://api.spotify.com/v1/audio-analysis/4XPWKmy05Rcff6TLHNoNF8,213213,4,0,1,0,1,2014,2010s,all_popular,energy,0.84
889,Sara Bareilles,Love Song,Little Voice,2007-07-03,65,73,"['acoustic pop', 'dance pop', 'hollywood', 'lilith', 'neo mellow', 'pop', 'pop rock']",2,-3.142,0,0.0301,0.0208,0.0,0.188,123.055,audio_features,4E6cwWJWZw2zWf7VFbH7wf,spotify:track:4E6cwWJWZw2zWf7VFbH7wf,https://api.spotify.com/v1/tracks/4E6cwWJWZw2zWf7VFbH7wf,https://api.spotify.com/v1/audio-analysis/4E6cwWJWZw2zWf7VFbH7wf,258827,4,0,1,0,1,2007,2000s,all_popular,energy,0.786
890,Coldplay,Fix You,X&Y,2005-06-07,86,82,"['permanent wave', 'pop']",3,-8.74,1,0.0338,0.164,0.00196,0.113,138.178,audio_features,7LVHVU3tWfcxj5aiPFEW4Q,spotify:track:7LVHVU3tWfcxj5aiPFEW4Q,https://api.spotify.com/v1/tracks/7LVHVU3tWfcxj5aiPFEW4Q,https://api.spotify.com/v1/audio-analysis/7LVHVU3tWfcxj5aiPFEW4Q,295533,4,0,1,1,1,2005,2000s,all_popular,energy,0.417
891,Five For Fighting,Superman (It's Not Easy),America Town,2000-09-26,59,71,"['acoustic pop', 'neo mellow', 'piano rock', 'pop rock']",0,-9.303,1,0.0302,0.0733,0.0,0.0719,102.089,audio_features,3TwtrR1yNLY1PMPsrGQpOp,spotify:track:3TwtrR1yNLY1PMPsrGQpOp,https://api.spotify.com/v1/tracks/3TwtrR1yNLY1PMPsrGQpOp,https://api.spotify.com/v1/audio-analysis/3TwtrR1yNLY1PMPsrGQpOp,221693,4,0,1,1,1,2000,2000s,all_popular,energy,0.416
892,Rag'n'Bone Man,Anywhere Away from Here (Rag’n’Bone Man & P!nk),Life By Misadventure,2021-05-07,67,68,['neo soul'],11,-10.465,1,0.0345,0.656,0.0,0.116,130.571,audio_features,5gjATWO1EIhrCP1CQ2GWg8,spotify:track:5gjATWO1EIhrCP1CQ2GWg8,https://api.spotify.com/v1/tracks/5gjATWO1EIhrCP1CQ2GWg8,https://api.spotify.com/v1/audio-analysis/5gjATWO1EIhrCP1CQ2GWg8,238640,4,0,1,1,1,2021,2020s,all_popular,energy,0.288
893,Alicia Keys,Underdog,ALICIA,2020-12-18,77,67,"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']",0,-4.74,0,0.0458,0.542,0.0,0.137,90.105,audio_features,7FsAFw1oZeTJUZmIzSh0cg,spotify:track:7FsAFw1oZeTJUZmIzSh0cg,https://api.spotify.com/v1/tracks/7FsAFw1oZeTJUZmIzSh0cg,https://api.spotify.com/v1/audio-analysis/7FsAFw1oZeTJUZmIzSh0cg,204400,4,0,1,1,1,2020,2020s,all_popular,energy,0.726
